id,split,region,province_code,province_name,filename,text,speakerID,gender,sampling_rate,duration_sec,audio_saved_path,text_saved_path,audio_source_path
636,test,Central,37,NgheAn,37_0300.wav,Cũng chia sẻ thật là tôi cũng có một đứa cháu ruột Hiện tại cũng đang học cùng lớp với con gái của tôi Nhưng bạn cháu ruột của tôi thì có học lực nó chỉ ở mức độ trung bình thôi.,spk_37_0224,0,16000,10.398,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000636.wav,vimd_dataset/test/text_vimd/000636.txt,000636.wav
637,test,Central,37,NgheAn,37_0301.wav,"Thì bây giờ rất là băn khoăn Sợ là cháu sẽ khó được một tấm vé đặt chân vào trường công lập Mà khi chia sẻ với tất cả mọi người là nếu như vào học mà học ở trường dân lập thì ta không nói cái môi trường, ta không chê trường nào cả Cũng là cái trường cấp ba trong thành phố Vinh cả thôi",spk_37_0224,0,16000,13.691,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000637.wav,vimd_dataset/test/text_vimd/000637.txt,000637.wav
638,test,Central,37,NgheAn,37_0302.wav,"Nhưng mà muốn nói rằng là để ở cái môi trường á thì tất nhiên là phụ huynh ở trong thành phố Vinh cũng như cá nhân tôi, tôi vẫn muốn là các con và các cháu của mình và tất cả các bạn học sinh là có cái học lực khá và ngoan thì được đặt chân vào cái môi trường là công lập",spk_37_0224,0,16000,12.545,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000638.wav,vimd_dataset/test/text_vimd/000638.txt,000638.wav
639,test,Central,37,NgheAn,37_0306.wav,Cho đến thời điểm này chúng tôi thật sự thấy là may mắn đấy. Bởi vì khi đó là vợ chồng trẻ vừa mới sinh con cũng không đủ điều kiện để mà mua đất mua nhà. Dự án nhà ở xã hội đã cho chúng tôi một cơ hội có chỗ ở.,spk_37_0227,0,16000,15.5,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000639.wav,vimd_dataset/test/text_vimd/000639.txt,000639.wav
640,test,Central,37,NgheAn,37_0320.wav,"Không chỉ là ở các cái thành phố lớn thì mới có, mà ở ngay tại thành phố Vinh này thì cái văn hóa phố đi bộ sẽ giúp cho mọi người có thể là lại gần nhau hơn.",spk_37_0240,0,16000,10.5,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000640.wav,vimd_dataset/test/text_vimd/000640.txt,000640.wav
641,test,Central,37,NgheAn,37_0326.wav,"Từ cái khâu mà lựa chọn cái đơn vị tư vấn tổ chức đấu thầu cũng như đến cái vấn đề giám sát trong cuộc đấu giá, tránh cái tình trạng là thông đồng giá, cũng như là tình trạng làm các cái cò đất, làm nhũng loạn thị trường giá, thông báo rộng rãi trước toàn thể người dân cũng như hệ thống thông tin đại chúng để người dân nắm được, có nhu cầu tham gia các cái cuộc đấu giá.",spk_37_0245,1,16000,24.3,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000641.wav,vimd_dataset/test/text_vimd/000641.txt,000641.wav
642,test,Central,37,NgheAn,37_0327.wav,"Khu đô thị Hải Vân này á thì được chủ đầu tư đầu tư rất bài bản về hạ tầng Trong đó ví dụ như hạ tầng giao thông, hệ thống cấp nước và hệ thống thoát nước đã được làm hoàn chỉnh Cư dân mà mua sản phẩm đất ở đây thì không phải chờ đợi lâu thì được cấp giấy chứng nhận quyền sử dụng đất cho khách hàng luôn",spk_37_0246,1,16000,16.7,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000642.wav,vimd_dataset/test/text_vimd/000642.txt,000642.wav
643,test,Central,37,NgheAn,37_0328.wav,"Từ năm một nghìn chín trăm chín mươi mốt, gia đình tôi là kinh doanh đồ nhựa đầu tiên. Sau đó và, sau đó dần dần thì là hướng dẫn các cái hộ kinh doanh gần gần ở đây và tạo điều kiện cho các cái hộ kinh doanh lấy hàng về bán. Sau quá trình lấy hàng về bán thì một thời gian mọi người bắt đầu chuyên môn dần ra. Có người kinh doanh đồ nhựa, có người kinh doanh đồ nội thất, có người kinh doanh đồ chăn ga gối đệm. Và cứ dần dần như thế và cho đến tận bây giờ cũng được gần ba mươi năm rồi.",spk_37_0247,1,16000,27.5,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000643.wav,vimd_dataset/test/text_vimd/000643.txt,000643.wav
644,test,Central,37,NgheAn,37_0329.wav,Tôi chọn những cái cửa hàng ở đây là thấy các cái mặt hàng kinh doanh rất là nhiều. Cái thứ hai nữa là các cái mẫu mã khác nhau. Cái thứ ba nữa là cái chính sách bảo hành thì rất là tốt.,spk_37_0248,1,16000,15.3,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000644.wav,vimd_dataset/test/text_vimd/000644.txt,000644.wav
645,test,Central,37,NgheAn,37_0330.wav,"Đây là cái xu hướng tất yếu và phù hợp với cái xu thế là phát triển của kinh tế thị trường và tốc độ phát triển kinh tế xã hội của tỉnh nghệ an các địa phương để rà soát, xây dựng các quy hoạch định hướng phát triển hệ thống hạ tầng thương mại dịch vụ.",spk_37_0249,1,16000,17.835,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/NgheAn/000645.wav,vimd_dataset/test/text_vimd/000645.txt,000645.wav
