id,split,region,province_code,province_name,filename,text,speakerID,gender,sampling_rate,duration_sec,audio_saved_path,text_saved_path,audio_source_path
843,test,South,59,HoChiMinh,59_0281.wav,Ở cái tình hình dịch bệnh hiện tại đang phức tạp thì ít nhiều gì có vắc xin trong người thì cũng giảm thiểu cái khả năng nguy hiểm của chính bản thân mình.,spk_59_0244,0,16000,12.738,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000843.wav,vimd_dataset/test/text_vimd/000843.txt,000843.wav
844,test,South,59,HoChiMinh,59_0283.wav,"Thì chúng tôi có hình thành một cái đội ngũ là thanh niên xung kích về vấn đề y tế. Kèm với lại một cái bác sĩ của trạm y tế. Hiệu quả mong muốn là giảm thiểu cái trường hợp và hạn chế là trường hợp tử vong khi mà chưa được cấp cứu, kịp tới bệnh viện.",spk_59_0246,0,16000,16.075,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000844.wav,vimd_dataset/test/text_vimd/000844.txt,000844.wav
845,test,South,59,HoChiMinh,59_0284.wav,"Nếu mà ép không thì khi mà vân nhận được thông báo là người đó có triệu chứng khó thở, Khi mà đánh giá tình trạng sơ bộ tại Việt Nam có máy ét bê ô hai để đo nồng độ oxy. Thấy thiếu thì bên trang sẽ hỗ trợ cái bình oxy vừa xuống để cho bệnh nhân thở ngay lúc đó.",spk_59_0246,0,16000,15.731,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000845.wav,vimd_dataset/test/text_vimd/000845.txt,000845.wav
846,test,South,59,HoChiMinh,59_0288.wav,"Hiện nay quận có ba khu, khu thứ nhất là ở hai bảy tám hai tám tư Lãnh Binh Thăng để lưu dung những trường hợp test nhanh dương tính. Trong đó những và chúng tôi có đầu tư hệ thống máy chụp x quang di động để nhằm mục đích là đánh giá tình trạng sức khỏe, tổn thương phổi của bệnh nhân. Qua đó để chúng tôi có cái sàng lọc để đưa đi các khu khác.",spk_59_0250,1,16000,18.525,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000846.wav,vimd_dataset/test/text_vimd/000846.txt,000846.wav
847,test,South,59,HoChiMinh,59_0289.wav,"Những cái trường hợp mà không có biểu hiện và không có tổn thương phổi thì chúng tôi sẽ đưa qua cái khu chung cư phú thọ này. Nặng á thì chúng tôi sẽ đưa vào những bệnh viện tầng hai và tầng ba. Còn cái khu thứ ba là ở trường Đại học Ký Túc Xá, Đại học Sư Phạm thì hiện nay với khả năng lưu dung được khoảng sáu trăm giường.",spk_59_0250,1,16000,16.378,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000847.wav,vimd_dataset/test/text_vimd/000847.txt,000847.wav
848,test,South,59,HoChiMinh,59_0290.wav,Ban đầu cũng hơi có lo lắng nhưng mà sau một thời gian thì tinh thần thì vẫn cố gắng để phục vụ cho bà con sức khỏe của bà con nhân dân ở địa bàn thành phố.,spk_59_0251,1,16000,8.237,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000848.wav,vimd_dataset/test/text_vimd/000848.txt,000848.wav
849,test,South,59,HoChiMinh,59_0291.wav,"Trong công việc của mình ở đây thì thường chủ yếu là sẽ tiếp nhận các cuộc gọi cấp cứu của người dân tới và sau đó xử trí, sau đó điều xe đi để hỗ trợ người dân nhanh nhất có thể. Vì cộng đồng, vì công cuộc chung thì những điều này thì cũng không phải là vấn đề lớn lắm.",spk_59_0252,1,16000,13.979,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000849.wav,vimd_dataset/test/text_vimd/000849.txt,000849.wav
850,test,South,59,HoChiMinh,59_0292.wav,"Đảm bảo tất cả cuộc gọi về số một một năm phải được đáp ứng, ít nhất là chúng ta nghe. Và trong cái tổng đài đó chia ra từng cái tổ. Tổ điều phối ép không nhẹ không chịu chứng, tổ điều phối ép không nặng, tổ điều phối hỗ trợ cho taxi và nó sẽ phát sinh thêm một số những cái chức năng nhiệm vụ nữa.",spk_59_0253,1,16000,17.324,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000850.wav,vimd_dataset/test/text_vimd/000850.txt,000850.wav
851,test,South,59,HoChiMinh,59_0293.wav,tăng cái lượng giờ tiêm lên mặc dù tụi em rất là vất vả nhưng mà bên trong tụi em cảm thấy rất là hài lòng ở điểm là cố gắng lên để làm sao cho người dân thấy rằng lúc nào nhân viên y tế của tụi em luôn bên lòng dân hết và làm sao cho dân tin tưởng rằng nhà nước mình và địa phương mình luôn luôn tạo điều kiện để làm sao đảm bảo sức khỏe cho toàn dân.,spk_59_0254,0,16000,21.78,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000851.wav,vimd_dataset/test/text_vimd/000851.txt,000851.wav
852,test,South,59,HoChiMinh,59_0294.wav,mình đảm bảo an toàn cho người gia đình mình sẽ ở khu cách ly rồi mình nghĩ đến giúp cho thành phố Thủ Đức mau đánh thắng đại dịch để bà con có thể trở lại cuộc sống bình thường,spk_59_0255,1,16000,12.877,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HoChiMinh/000852.wav,vimd_dataset/test/text_vimd/000852.txt,000852.wav
