file_id,ground_truth,transcript,duration,latency,rtf,model,wer,cer
522,"Cửa hàng nhà tôi là chuyên cung cấp những phụ liệu về thiết kế thời trang, những sắc tộc của dân tộc Việt Nam để những nhà thiết kế, những nghệ nhân mà người ta thiết kế lên những trang phục để đi biểu diễn trong các dịp lễ hội. Rồi là mang văn hóa của người Việt đi đến các nước.","Hà nhà tôi là chuyên cung cấp những phụ liệu về thiết kế thời trang, những sắc tộc của dân tộc Việt Nam để những nhà thiết kế, những nghệ nhân mà người ta thiết kế lên những trang phục để đi biểu diễn trong các dịp lễ hội, rồi mang văn hóa của người Việt đi đến các nước.",22.5,12.826,0.5701,qualcomm-whisper-large-v3-turbo,0.04838709677419355,0.03260869565217391
523,"Ở trong phố cổ thì mình cũng phải làm sao mà mình trưng bày đầy đủ những sản phẩm. Còn một số kho thì mình sẽ để xa để thứ nhất là khách vào dễ xem, thứ hai là tránh sự cháy nổ trong phố cổ. Đấy là những nguy cơ mình cũng rất là là là phải đề phòng.","Ở trong phố cổ thì mình cũng phải làm sao mà mình trưng bày đầy đủ những cái sản phẩm. Còn một số kho thì mình sẽ để xa để thứ nhất là khách vào dễ xem, thứ hai là tránh sự cháy nổ trong phố cổ. Đấy là những cái nguy cơ mình cũng rất là phải đề phòng.",20.712,12.394,0.5984,qualcomm-whisper-large-v3-turbo,0.06666666666666667,0.05714285714285714
524,Nhà mình ở tận Hà Đông cơ Nhưng mà vì tính chất công việc mình là thợ may cho nên là phố Hàng Bồ vẫn là con phố mà gần gũi thân thiết. Cho dù xa thì mình cũng vẫn lên tận đây để mua sắm những cái thiết bị may mặc liên quan đến công việc của mình.,"Nhà mình ở tận Hà Đông cơ, nhưng mà vì tính chất công việc mình là thợ may cho nên là phố Hàng Bồ vẫn là con phố gần gũi thân thiết. Cho dù xa thì mình cũng vẫn lên tận đây để mua sắm những cái thiết bị may mặc liên quan đến công việc của mình.",11.998,13.454,1.1214,qualcomm-whisper-large-v3-turbo,0.01694915254237288,0.012295081967213115
525,"Tôi làm việc online là chính, tôi phục vụ cho những khách. Đối tượng khách của tôi là rất là kỹ tính, họ là những người, gần như là những người cổ của Hà Nội. Họ cần những trang phục của họ rất là độc đáo và không có sự mà chạm hàng với ai đó. Bởi vậy nên là hằng ngày tôi sẽ phải lên đây, tôi lựa chọn những chất liệu ở trên này để cho nó phù hợp với mẫu thiết kế của tôi. Nó khá là riêng biệt.","Tôi làm việc online là chính, tôi phục vụ cho những đối tượng khách của tôi rất là kỹ tính. Họ là những người gần như là những người cổ của Hà Nội, họ cần những trang phục của họ rất là độc đáo và không có sự chạm hàng với ai đó. Bởi vậy nên hằng ngày tôi sẽ lên đây lựa chọn những chất liệu ở trên này để cho nó phù hợp với mẫu chiếc kế của tôi. Nó khá là riêng biệt.",25.361,15.395,0.607,qualcomm-whisper-large-v3-turbo,0.07608695652173914,0.06735751295336788
526,"trong một gia đình của người Hà Nội, nó thành một nền nếp. Vậy thì bây giờ mình muốn truyền văn hóa của người Tràng An đó đến tất cả những người khách của tứ phương, thậm chí của cả thế giới. Rất nhiều khách nước ngoài đến đây. Ví dụ, một cái bát, mình chan đến độ nào là vừa, đến tầm nào là vừa để không sóng sánh ra ngoài và phải để như thế nào? Ví dụ bát, mình để vào trong cái đĩa, nó có cái đĩa kê và bê như thế nào? Bê cái khay, cái đĩa thôi. ngón tay không chạm vào miệng bát","Trong một gia đình của người Hà Nội, nó thành một cái nền nếp. Vậy thì bây giờ mình muốn truyền cái văn hóa của người Tràng An đó đến tất cả những người khách của tứ phương, thậm chí của cả thế giới. Rất nhiều khách nước ngoài đến đây. Ví dụ một cái bát, mình chan đến độ nào là vừa, đến tầm nào là vừa để không sóng sánh ra ngoài. Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn",30.92,25.278,0.8175,qualcomm-whisper-large-v3-turbo,0.35454545454545455,0.27350427350427353
527,"Tất cả những cái chi tiết đó cũng là một vấn đề. Nếu chỉ truyền bá lại ở cái tính chất tức là động tác này, động tác kia thì không thấm. Mà phải có những cái câu chuyện cho các cháu ở các vùng miền xa đến đây làm. Các cháu hiểu rằng đấy là một cái sự, một cái văn hóa rất đáng trân trọng của người Hà Nội.","Tất cả những chi tiết đó cũng là một vấn đề. Nếu chỉ truyền báo lại ở tính chất, tức là động tác này, động tác kia, thì không thấm. Phải có những câu chuyện cho các cháu ở các vùng miền xa đến đây làm. Các cháu hiểu rằng đấy là một văn hóa rất đáng trân trọng của người Hà Nội.",20.24,13.898,0.6866,qualcomm-whisper-large-v3-turbo,0.1267605633802817,0.10367892976588629
528,"Phải nói là không phải chỉ riêng một mình mình mà cả gia đình đều rất là tự hào về những danh hiệu mà bà được tặng. Bởi vì đấy là một sự nỗ lực có thể nói là ngoài sự tưởng tượng của gia đình. Ai cũng biết là bà là một người phụ nữ của gia đình nấu ăn ngon nhưng mà từ sự ăn ngon ở trong gia đình nó lan được đến xã hội, lan được đến những người yêu ẩm thực thì nó là cả một hành trình","Phải nói là không phải chỉ riêng một mình mình mà cả gia đình đều rất là tự hào về những cái danh hiệu mà bà được tặng. Bởi vì là đấy là một cái sự nỗ lực có thể nói là ngoài sự tưởng tượng của gia đình. Ai cũng biết là bà là một người phụ nữ của gia đình nấu ăn ngon nhưng mà để đến từ cái sự ăn ngon ở trong gia đình nó lan được đến xã hội, lan được đến những người yêu ẩm thực thì nó là cả một cái hành trình",29.208,15.367,0.5261,qualcomm-whisper-large-v3-turbo,0.07526881720430108,0.06806282722513089
529,"Đấy, khi mà bà nhận được những danh hiệu là nghệ nhân ẩm thực, rồi là người gìn giữ những di sản về văn hóa ẩm thực truyền thống thì vui lắm, cả nhà rất là vui, bà cũng rất là vui. Và cả nhà rất là tự hào khi trong gia đình lại có một người mang lại tất cả những tinh hoa của ẩm thực Việt Nam để có thể được bạn bè trong nước và thậm chí là quốc tế biết đến.","Khi mà bà nhận được những danh hiệu là nghệ nhân ẩm thực, rồi là người gìn giữ những di sản về văn hóa ẩm thực truyền thống này thì vui lắm, cả nhà rất là vui, bà cũng rất là vui. Và cả nhà rất là tự hào khi trong gia đình lại có một người mang lại tất cả những tinh hoa của ẩm thực Việt Nam để có thể được bạn bè trong nước và thậm chí là quốc tế biết đến.",27.115,15.13,0.558,qualcomm-whisper-large-v3-turbo,0.023529411764705882,0.022727272727272728
530,"Mấy bạn bảo không sợ, không sợ nhưng mà mình vừa vào làm lần đầu tiên mình sợ nó vãi mồ hôi rồi không dám làm. Túc tắc túc tắc từ từ làm cho đến lúc mình thành thói quen của mình thì mình cũng làm cũng bình thường, không thấy vấn đề như ngày xưa lúc mình vừa vào làm","Mấy bạn bà không sợ, không sợ nhưng mà mình vừa vào làm lần đầu tiên mình sợ nó đãi mồ hôi ra không dám làm. Chúc tắc chúc tắc, từ từ từ làm rồi đến lúc mình bây giờ mình thành những thói quen của mình thì mình cũng làm cũng bình thường, không thấy vấn đề như ngày xưa lúc vừa vào làm.",11.379,13.814,1.214,qualcomm-whisper-large-v3-turbo,0.19672131147540983,0.1482889733840304
531,"Thấy mình làm vất vả, làm nguy hiểm nên dân cũng thấy quý mình, dân cũng cho mình hoa quả, nước uống. Mọi thứ nhà nước, quý khách còn cho mình mấy chục nghìn để đi mua nước uống chị ạ. Cũng thấy vui đấy.","Mình làm vất vả, làm nguy hiểm, quỹ mình cho dân cho mình hoa quả, nước uống, mọi thứ nhà nước, quỹ khách còn cho mình mấy chục nghìn để mua nước uống, chạy, thấy vui.",14.933,12.125,0.812,qualcomm-whisper-large-v3-turbo,0.3111111111111111,0.22959183673469388
