file_id,ground_truth,transcript,duration,latency,rtf,model,wer,cer
843,Ở cái tình hình dịch bệnh hiện tại đang phức tạp thì ít nhiều gì có vắc xin trong người thì cũng giảm thiểu cái khả năng nguy hiểm của chính bản thân mình.,Ở tình hình dịch bệnh hiện tại đang phức tạp thì ít nhiều gì có vaccine trong người thì cũng giảm thiểu khả năng nguy hiểm của chính bản thân mình.,12.738,20.881,1.6393,qualcomm-whisper-large-v3-turbo,0.11764705882352941,0.07792207792207792
844,"Thì chúng tôi có hình thành một cái đội ngũ là thanh niên xung kích về vấn đề y tế. Kèm với lại một cái bác sĩ của trạm y tế. Hiệu quả mong muốn là giảm thiểu cái trường hợp và hạn chế là trường hợp tử vong khi mà chưa được cấp cứu, kịp tới bệnh viện.","Chúng tôi có hình thành một đội ngũ là thanh viên xung tích về vấn đề y tế kèm với lại một bác sĩ của trạng y tế. Điều quả mong muốn giảm hiểu hết trường hợp hệ chế tử văn khi chưa được cấp cứu, kịp tới bệnh viện.",16.075,14.345,0.8924,qualcomm-whisper-large-v3-turbo,0.288135593220339,0.19838056680161945
845,"Nếu mà ép không thì khi mà vân nhận được thông báo là người đó có triệu chứng khó thở, Khi mà đánh giá tình trạng sơ bộ tại Việt Nam có máy ét bê ô hai để đo nồng độ oxy. Thấy thiếu thì bên trang sẽ hỗ trợ cái bình oxy vừa xuống để cho bệnh nhân thở ngay lúc đó.","Nếu mà ép không thì khi mà chăng nhận được cái thông báo là người đó có trị cũng không khó thở. Khi mà đánh giá tình trạng sơ bộ, tại vì chăng có cái máy SBO2 để ở đâu nằm oxy, thấy thiếu thì bên chăng sẽ hỗ trợ cái bệnh oxy cứ xuống để cho bệnh thở ngay lúc đó.",15.731,12.568,0.7989,qualcomm-whisper-large-v3-turbo,0.30158730158730157,0.21621621621621623
846,"Hiện nay quận có ba khu, khu thứ nhất là ở hai bảy tám hai tám tư Lãnh Binh Thăng để lưu dung những trường hợp test nhanh dương tính. Trong đó những và chúng tôi có đầu tư hệ thống máy chụp x quang di động để nhằm mục đích là đánh giá tình trạng sức khỏe, tổn thương phổi của bệnh nhân. Qua đó để chúng tôi có cái sàng lọc để đưa đi các khu khác.","Hiện nay quận có 3 khu, khu thứ nhất là ở 278, 284, Lãnh Bình Thăng để lưu dung những trường hợp tết nhanh nhân tính và trong đó chúng tôi có đầu tư hệ thống máy chụp x-quang di động để nhằm phục đích đánh giá tình trạng sức khỏe, tổn thương phổi của bệnh nhân. Qua đó để chúng tôi có sàn lọc để đưa đi các khu khác.",18.525,14.325,0.7733,qualcomm-whisper-large-v3-turbo,0.24050632911392406,0.15542521994134897
847,"Những cái trường hợp mà không có biểu hiện và không có tổn thương phổi thì chúng tôi sẽ đưa qua cái khu chung cư phú thọ này. Nặng á thì chúng tôi sẽ đưa vào những bệnh viện tầng hai và tầng ba. Còn cái khu thứ ba là ở trường Đại học Ký Túc Xá, Đại học Sư Phạm thì hiện nay với khả năng lưu dung được khoảng sáu trăm giường.","Những trường hợp mà không có biểu hiện và không có tổng thương phổi thì chúng tôi sẽ đưa qua khu chung cư Phú Thọ này nặng thì chúng tôi sẽ đưa vào những bệnh viện tầng 2 và tầng 3. Còn khu thứ 3 là ở trường đại học kỹ thuật xá, đại học sư phạm thì hiện nay với khả năng lưu dung được khoảng 600 giường.",16.378,14.809,0.9042,qualcomm-whisper-large-v3-turbo,0.16216216216216217,0.109375
848,Ban đầu cũng hơi có lo lắng nhưng mà sau một thời gian thì tinh thần thì vẫn cố gắng để phục vụ cho bà con sức khỏe của bà con nhân dân ở địa bàn thành phố.,Đan đầu cũng hơi có lo lắng nhưng mà sau một thời gian thì tinh thần thì vẫn cố gắng để phục vụ cho bà con sức khỏe của bà con nhân dân ở địa bàn TP.,8.237,19.377,2.3524,qualcomm-whisper-large-v3-turbo,0.07894736842105263,0.05161290322580645
849,"Trong công việc của mình ở đây thì thường chủ yếu là sẽ tiếp nhận các cuộc gọi cấp cứu của người dân tới và sau đó xử trí, sau đó điều xe đi để hỗ trợ người dân nhanh nhất có thể. Vì cộng đồng, vì công cuộc chung thì những điều này thì cũng không phải là vấn đề lớn lắm.","Trung công việc của mình ở đây thì chủ yếu là sẽ tiếp nhận các cuộc gọi cấp cứu của người dân tới và sau đó xử trí, sau đó điều xe đi để hỗ trợ người dân nhanh nhất có thể. Vì cộng đồng, vì công cuộc chung thì những điều này cũng không phải là vấn đề lớn lắm.",13.979,32.736,2.3418,qualcomm-whisper-large-v3-turbo,0.047619047619047616,0.045112781954887216
850,"Đảm bảo tất cả cuộc gọi về số một một năm phải được đáp ứng, ít nhất là chúng ta nghe. Và trong cái tổng đài đó chia ra từng cái tổ. Tổ điều phối ép không nhẹ không chịu chứng, tổ điều phối ép không nặng, tổ điều phối hỗ trợ cho taxi và nó sẽ phát sinh thêm một số những cái chức năng nhiệm vụ nữa.","Đảm bảo tất cả cuộc gọi về số 115 phải được đáp ứng. Và trong cái tổng đài đó chia ra từng cái tổ, tổ điều phối F0 nhẹ, không chịu chứng, tổ điều phối F0 nặng, tổ điều phối hỗ trợ cho taxi và nó sẽ phát sinh thêm một số những cái chức năng nhiệm vụ nữa.",17.324,38.895,2.2452,qualcomm-whisper-large-v3-turbo,0.18840579710144928,0.1780821917808219
851,tăng cái lượng giờ tiêm lên mặc dù tụi em rất là vất vả nhưng mà bên trong tụi em cảm thấy rất là hài lòng ở điểm là cố gắng lên để làm sao cho người dân thấy rằng lúc nào nhân viên y tế của tụi em luôn bên lòng dân hết và làm sao cho dân tin tưởng rằng nhà nước mình và địa phương mình luôn luôn tạo điều kiện để làm sao đảm bảo sức khỏe cho toàn dân.,Cảm ơn các bạn đã theo dõi và ủng hộ cho kênh lalaschool Để không bỏ lỡ những video hấp dẫn,21.78,29.469,1.353,qualcomm-whisper-large-v3-turbo,0.9523809523809523,0.8433048433048433
852,mình đảm bảo an toàn cho người gia đình mình sẽ ở khu cách ly rồi mình nghĩ đến giúp cho thành phố Thủ Đức mau đánh thắng đại dịch để bà con có thể trở lại cuộc sống bình thường,"Mình đảm bảo an toàn cho người gia đình mình sẽ ở khu cách ly, mình nghĩ giúp cho thành phố Thủ Đức mau đánh thắng đại dịch để bà con có thể trở lại cuộc sống bình thường.",12.877,14.281,1.109,qualcomm-whisper-large-v3-turbo,0.04878048780487805,0.04519774011299435
