id,split,region,province_code,province_name,filename,text,speakerID,gender,sampling_rate,duration_sec,audio_saved_path,text_saved_path,audio_source_path
551,test,North,34,HaiDuong,34_0256.wav,"Bạn Vinh là một người có tư chất thực sự. Bạn vừa có một cái sự điềm đạm và vừa có sự thông minh nữa. Ngoài ra trên lớp bạn ấy luôn giúp đỡ các bạn khác. Thực sự rất là nhiệt tình trong việc giảng dạy và bạn ấy luôn hòa đồng với mọi người. Không ai nghĩ bạn ấy là một người cao quá trên mình, bạn lúc nào cũng tỏ ra rất là khiêm tốn. Thực sự là bọn em rất quý bạn ấy, cả lớp đều quý.",spk_34_0171,0,16000,24.674,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000551.wav,vimd_dataset/test/text_vimd/000551.txt,000551.wav
552,test,North,34,HaiDuong,34_0257.wav,"Bạn Quốc Vinh của lớp mình là một học sinh rất là chăm ngoan, lễ phép với thầy cô giáo. Trong tất cả các giờ học thì bạn Vinh đều rất là say sưa học tập. Dù kiến thức đó bạn Vinh có thể đã nắm bắt được trên các giờ học đội tuyển, nhưng mà bạn Vinh rất là khiên tốm.",spk_34_0172,0,16000,16.8,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000552.wav,vimd_dataset/test/text_vimd/000552.txt,000552.wav
553,test,North,34,HaiDuong,34_0258.wav,"Đối với bạn bè thì bạn Vinh rất là hòa đồng và luôn luôn có ý thức giúp đỡ các bạn trong lớp học. Một cái điểm mà mình thấy ở Vinh đáng yêu nhất đó là một cái thái độ thực sự là cầu tiến và say mê với môn học, với tất cả các môn học và đặc biệt là môn toán của mình.",spk_34_0172,0,16000,17.211,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000553.wav,vimd_dataset/test/text_vimd/000553.txt,000553.wav
554,test,North,34,HaiDuong,34_0261.wav,"Nói chung là thuận lợi cái là riêng cái bưởi nó không như vải, bưởi thì thu hoạch dài ngày, ví dụ như thu từ tháng mười, à tháng bảy đến tháng mười. Thế như nhà mình thì đường nó tiện, đường thì nó ô tô vào tận sân lấy được và thương lái người ta tự lấy lấy. Thế những quả mà to mà đạt tiêu chuẩn thì mình bán trước, còn những quả ấy thì mình để lại mình bán sau.",spk_34_0175,0,16000,17.97,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000554.wav,vimd_dataset/test/text_vimd/000554.txt,000554.wav
555,test,North,34,HaiDuong,34_0265.wav,"Trên tinh thần mở rộng đường làng ngõ xóm thì có rất nhiều cái yếu tố mà ảnh hưởng đến công việc tổ chức thực hiện, đặc biệt là hệ thống đường điện cũ. Do vậy là sau khi mà chúng tôi mở rộng đường thì tiếp tục đề xuất với điện lực Hải Dương và điện lực Cẩm Giàng sẽ quan tâm để chuyển toàn bộ các cái chân cột điện ở trong lòng đường. Đấy thì cũng đề nghị các cấp quan tâm và đồng thời là thực hiện.",spk_34_0178,1,16000,30.821,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000555.wav,vimd_dataset/test/text_vimd/000555.txt,000555.wav
556,test,North,34,HaiDuong,34_0266.wav,"Qua quá trình nghiên cứu, thảo luận và đánh giá sách giáo khoa lớp bốn thì nhà trường đã lựa chọn bộ sách cánh diều để đưa vào sử dụng và đối với tổ chuyên môn đã thực hiện nghiêm túc mọi công việc để theo cái quy trình đánh giá và lựa chọn sách giáo khoa mà bộ giáo dục và ủy ban nhân dân tỉnh đã triển khai.",spk_34_0179,0,16000,26.118,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000556.wav,vimd_dataset/test/text_vimd/000556.txt,000556.wav
557,test,North,34,HaiDuong,34_0267.wav,"Đối với nhà trường thì các bộ sách lớp một, lớp hai, lớp ba đã được tiếp nhận và gửi tới các bậc phụ huynh ngay từ cuối năm học.",spk_34_0179,0,16000,11.375,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000557.wav,vimd_dataset/test/text_vimd/000557.txt,000557.wav
558,test,North,34,HaiDuong,34_0268.wav,"Sau khi học sinh kết thúc năm học hai nghìn không trăm hai hai hai nghìn không trăm hai ba thì là nhà trường đã cho các em đăng ký mua sách giáo khoa và gửi tập hợp số liệu về phòng giáo dục. Thế và đang chờ sách của chương trình lớp tám. Thế còn đối với sách của lớp sáu, lớp bảy thực hiện chương trình giáo dục phổ thông hai không mười tám thì sách đã về nhà trường. Và qua kết thúc năm học vào tháng sáu khi sách về nhà trường thì qua kênh nhóm zalo của các lớp thì các bậc phụ huynh và các em học sinh đã đến trường để nhận sách để chuẩn bị cho năm học mới.",spk_34_0180,1,16000,30.381,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000558.wav,vimd_dataset/test/text_vimd/000558.txt,000558.wav
559,test,North,34,HaiDuong,34_0269.wav,Lựa chọn sách giáo khóa cho lớp mười năm học hai không hai ba hai không hai tư và dự kiến là trong tháng bảy này sẽ hoàn thành. Và trong tháng bảy này thì nhà trường cũng sẽ quyết định danh mục sách giáo khoa cho năm học mới đối với lớp mười năm học hai không hai ba hai không hai tư để chuẩn bị các em học sinh lớp mười về tập trung nhận lớp thì chúng tôi sẽ có ngay danh mục đó để cho các học sinh và phụ huynh học sinh tham khảo để biết được là năm học tới đối với các em lớp mười sẽ học loại chọn sách gì.,spk_34_0181,1,16000,30.602,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000559.wav,vimd_dataset/test/text_vimd/000559.txt,000559.wav
560,test,North,34,HaiDuong,34_0270.wav,Mấy năm trước thì bọn tôi cũng có làm cái cầu bắc sang đây để làm ăn. Theo chủ trương của xã thì bọn tôi bắc qua kênh thì nó có vi phạm. Sau được chủ trương của xã là làm cái đường nông thôn mới. Bọn tôi cũng tự nguyện đồng thuận tháo dỡ công trình.,spk_34_0182,1,16000,27.245,D:/FPT/semester 6 - ttap/New folder/whisper/Whisper Large V3 Turbo/test case scenerio/data/HaiDuong/000560.wav,vimd_dataset/test/text_vimd/000560.txt,000560.wav
