id,file_path,wav_path,sentence,speaker_id,speaker_name,duration,start,end,sample_rate,session_type,dataset,split,wer_target
seg_0000,results/segments/seg_0000.wav,results/segments/seg_0000.wav,Thì mình xin chào tất cả các khán giả của Vietcetera Trong podcast lần này thì mình có một người bạn rất là đặc biệt Đặc biệt là bởi vì chơi với nhau cũng khá là lâu Số lần phỏng vấn thì đếm trên đầu con tay Xin chào mừng hai anh Tuấn đến với podcast lần này,SPEAKER_01,Host Thuỳ Minh,5.162,0.2,5.362,16000,podcast,PODCAST,test,0.15
seg_0001,results/segments/seg_0001.wav,results/segments/seg_0001.wav,Rất là khó để nhận lời phỏng vấn mà lại là một người bạn thân bởi vì hai anh Tuấn nghĩ rằng là để mà mình trả lời câu hỏi thì nó không khó nhưng mà để chọn thái độ,SPEAKER_00,Ca sĩ Hà Anh Tuấn,3.263,18.475,21.738,16000,podcast,PODCAST,test,0.15
seg_0002,results/segments/seg_0002.wav,results/segments/seg_0002.wav,"phải vừa không phải nói dối nhưng mà lại phải cũng không nên quá trần trụi đối với một người như Thùy Minh thì không phải dễ thế nhưng mà hy vọng ngày hôm nay là Hà Anh Tuấn sẽ mang đến một cuộc nói chuyện vui vẻ, chân thành cho Vietcetera Bây giờ nếu mà bạn phải chọn một cái món đồ uống mà nó đại diện cho mình cho content, nội dung của bản thân mình thì sẽ là",SPEAKER_00,Ca sĩ Hà Anh Tuấn,7.243,40.902,48.145,16000,podcast,PODCAST,test,0.15
seg_0009,results/segments/seg_0009.wav,results/segments/seg_0009.wav,Đấy cũng là một phần bởi vì mình bị nói nhiều là đường thì không tốt.,SPEAKER_01,Host Thuỳ Minh,1.381,71.634,73.015,16000,podcast,PODCAST,test,0.15
seg_0010,results/segments/seg_0010.wav,results/segments/seg_0010.wav,Với mình đã ăn đủ ngọt rồi thì khi mình uống cà phê mình không nên thêm nữa.,SPEAKER_00,Ca sĩ Hà Anh Tuấn,1.52,73.035,74.555,16000,podcast,PODCAST,test,0.15
seg_0011,results/segments/seg_0011.wav,results/segments/seg_0011.wav,Với thứ hai là khi Tuấn uống cà phê không có đường thì Tuấn enjoy được toàn bộ cái vị của nó.,SPEAKER_00,Ca sĩ Hà Anh Tuấn,1.861,74.575,76.436,16000,podcast,PODCAST,test,0.15
seg_0013,results/segments/seg_0013.wav,results/segments/seg_0013.wav,Hôm nay thì mời Tuấn một ly cà phê có đường chứ Có đường à?,SPEAKER_01,Host Thuỳ Minh,1.181,97.265,98.446,16000,podcast,PODCAST,test,0.15
seg_0014,results/segments/seg_0014.wav,results/segments/seg_0014.wav,"Có đường, có một chút đường Nhưng mà chúng tôi đang nói chuyện vào buổi chiều Với những người hay uống cà phê, có đường có muối Cứ gặp Thủy Minh là sẽ được uống cà phê và có muối Anh nhắc lại Tuấn là câu chuyện, một talk show Đầu đời Đầu đời và khủng khiếp Bị Thủy Minh lừa Hồi đó là đúng tại sao lại có một câu chuyện là có cà phê có muối nhỉ?",SPEAKER_01,Host Thuỳ Minh,6.886,98.466,105.352,16000,podcast,PODCAST,test,0.15
seg_0015,results/segments/seg_0015.wav,results/segments/seg_0015.wav,Thôi cái chuyện này mình cứ giữ riêng cho nhau Tại vì gợi lại thì nó quá lâu Nó liên quan đến cả 10 năm tình bạn Câu chuyện cà phê chỉ là câu chuyện Mở đầu câu chuyện Và cà phê Tuấn thì Cái chuyện Tuấn có một cái đồ uống Là cà phê đại diện cho mình thì nó khá dễ hiểu Thậm chí Tuấn đã ra cả một cái album Gắn rất là nhiều mình với cà phê Và thì mình tin là những cái dự án sắp tới Của Tuấn thì cái hình ảnh cà phê Nó cũng khá là len lỏi đúng không Nhưng mà mình sẽ nói đến cái sản phẩm,SPEAKER_01,Host Thuỳ Minh,9.706,126.745,136.451,16000,podcast,PODCAST,test,0.15
seg_0016,results/segments/seg_0016.wav,results/segments/seg_0016.wav,Gần nhất ở cái thời điểm này là 3 giờ chiều ngày thứ 2 thì đúng 5 tiếng nữa thì cái sản phẩm âm nhạc mới nhất của Hành Tuấn sẽ xuất hiện trên Youtube cái dự án tên là Vestong Tại sao lại là Vestong?,SPEAKER_01,Host Thuỳ Minh,3.962,156.952,160.914,16000,podcast,PODCAST,test,0.15
